Date,Open,High,Low,Close,Volume
1/29/1993 16:00,43.97,43.97,43.75,43.94,1003200
2/1/1993 16:00,43.97,44.25,43.97,44.25,480500
2/2/1993 16:00,44.22,44.38,44.13,44.34,201300
2/3/1993 16:00,44.41,44.84,44.38,44.81,529400
2/4/1993 16:00,44.97,45.09,44.47,45,531500
2/5/1993 16:00,44.97,45.06,44.72,44.97,492100
2/8/1993 16:00,44.97,45.13,44.91,44.97,596100
2/9/1993 16:00,44.81,44.81,44.56,44.66,122100
2/10/1993 16:00,44.66,44.75,44.53,44.72,379600
2/11/1993 16:00,44.78,45.13,44.78,44.94,19500
2/12/1993 16:00,44.88,44.88,44.59,44.59,42500
2/16/1993 16:00,44.47,44.47,43.41,43.47,374800
2/17/1993 16:00,43.47,43.53,43.28,43.44,210900
2/18/1993 16:00,43.94,43.94,42.81,43.41,378100
2/19/1993 16:00,43.41,43.56,43.34,43.56,34900
2/22/1993 16:00,43.69,43.78,43.56,43.72,513600
2/23/1993 16:00,43.84,43.88,43.47,43.69,373700
2/24/1993 16:00,43.72,44.25,43.72,44.25,26300
2/25/1993 16:00,44.22,44.38,44.13,44.34,44500
2/26/1993 16:00,44.44,44.44,44.19,44.41,66200
3/1/1993 16:00,44.56,44.56,44.22,44.28,66500
3/2/1993 16:00,44.31,44.94,44.25,44.94,182400
3/3/1993 16:00,45,45.16,44.94,45.13,280100
3/4/1993 16:00,45.19,45.19,44.88,44.88,89500
3/5/1993 16:00,44.94,45.13,44.72,44.75,40000
3/8/1993 16:00,44.84,45.75,44.84,45.75,50800
3/9/1993 16:00,45.66,45.69,45.5,45.59,169300
3/10/1993 16:00,45.59,45.69,45.41,45.69,194400
3/11/1993 16:00,45.72,45.84,45.5,45.56,70900
3/12/1993 16:00,45.19,45.22,44.81,45.09,643600
3/15/1993 16:00,45.06,45.31,45.06,45.31,310800
3/16/1993 16:00,45.31,45.44,45.31,45.31,30800
3/17/1993 16:00,45.25,45.25,44.97,45.03,21800
3/18/1993 16:00,45.22,45.5,45.22,45.31,59300
3/19/1993 16:00,45.28,45.28,45.03,45.03,66900
3/22/1993 16:00,44.59,44.88,44.56,44.78,183400
3/23/1993 16:00,44.91,44.94,44.81,44.88,55200
3/24/1993 16:00,44.81,45.06,44.59,44.88,37200
3/25/1993 16:00,44.91,45.25,44.84,45.16,110100
3/26/1993 16:00,45.13,45.16,44.88,44.91,101500
3/29/1993 16:00,44.94,45.31,44.94,45.09,87100
3/30/1993 16:00,45.16,45.22,45.09,45.22,56000
3/31/1993 16:00,45.34,45.47,45.19,45.19,111600
4/1/1993 16:00,45.25,45.25,44.94,45.03,129500
4/2/1993 16:00,44.66,44.66,44.09,44.09,59400
4/5/1993 16:00,44.44,44.44,44.19,44.31,172200
4/6/1993 16:00,44.41,44.41,44.06,44.19,129700
4/7/1993 16:00,44.25,44.34,44.16,44.34,28000
4/8/1993 16:00,44.53,44.53,44.09,44.28,180800
4/12/1993 16:00,44.72,44.94,44.66,44.91,348500
4/13/1993 16:00,44.88,45.16,44.84,45,146100
4/14/1993 16:00,45.03,45.06,44.91,44.94,119600
4/15/1993 16:00,44.91,45.03,44.75,44.94,148600
4/16/1993 16:00,44.97,45.03,44.88,44.94,47900
4/19/1993 16:00,44.94,45.06,44.72,44.75,157000
4/20/1993 16:00,44.69,44.75,44.25,44.53,279500
4/21/1993 16:00,44.63,44.63,44.38,44.5,67900
4/22/1993 16:00,44.31,44.69,43.94,43.94,97700
4/23/1993 16:00,43.84,43.97,43.69,43.75,106000
4/26/1993 16:00,43.78,43.94,43.28,43.41,62600
4/27/1993 16:00,43.34,43.88,43.34,43.88,156800
4/28/1993 16:00,43.81,43.91,43.72,43.78,85900
4/29/1993 16:00,43.88,43.97,43.63,43.97,85000
4/30/1993 16:00,44.13,44.28,44.03,44.03,88500
5/3/1993 16:00,44.09,44.31,43.91,44.31,80500
5/4/1993 16:00,44.41,44.63,44.34,44.47,149100
5/5/1993 16:00,44.47,44.75,44.47,44.59,109000
5/6/1993 16:00,44.53,44.56,44.41,44.44,54700
5/7/1993 16:00,44.47,44.47,44.28,44.34,68000
5/10/1993 16:00,44.41,44.69,44.41,44.44,113900
5/11/1993 16:00,44.44,44.63,44.31,44.63,42600
5/12/1993 16:00,44.44,44.59,44.44,44.56,31000
5/13/1993 16:00,44.38,44.38,44,44.03,129100
5/14/1993 16:00,44.03,44.16,43.97,44,63500
5/17/1993 16:00,44.13,44.16,43.94,44.16,34000
5/18/1993 16:00,44.19,44.22,43.97,44.13,105200
5/19/1993 16:00,44.13,45.03,43.84,45.03,50200
5/20/1993 16:00,45.03,45.16,44.94,45.16,98200
5/21/1993 16:00,45.19,45.25,44.72,44.75,221400
5/24/1993 16:00,44.84,45.09,44.84,44.94,30500
5/25/1993 16:00,45.13,45.13,45.03,45.03,191800
5/26/1993 16:00,45.16,45.63,45.13,45.59,102400
5/27/1993 16:00,45.66,45.66,45.38,45.44,53800
5/28/1993 16:00,45.41,45.41,45,45.22,79100
6/1/1993 16:00,45.38,45.81,45.31,45.66,28300
6/2/1993 16:00,45.53,45.75,45.34,45.59,20300
6/3/1993 16:00,45.5,45.5,45.34,45.44,21600
6/4/1993 16:00,45.31,45.31,45.09,45.28,32000
6/7/1993 16:00,45.38,45.38,45.13,45.13,121400
6/8/1993 16:00,45,45,44.72,44.72,104500
6/9/1993 16:00,44.88,45.06,44.81,44.88,43300
6/10/1993 16:00,44.84,44.94,44.75,44.91,17900
6/11/1993 16:00,45.06,45.16,44.91,45.09,647400
6/14/1993 16:00,45.16,45.19,45.03,45.03,64200
6/15/1993 16:00,45.09,45.13,44.94,44.94,142400
6/16/1993 16:00,44.94,45.03,44.81,45.03,330900
6/17/1993 16:00,45.13,45.19,45.03,45.19,37400
6/18/1993 16:00,44.84,44.84,44.5,44.5,58500
6/21/1993 16:00,44.63,44.63,44.53,44.59,29300
6/22/1993 16:00,44.66,44.66,44.56,44.63,137500
6/23/1993 16:00,44.63,44.63,44.22,44.22,227600
6/24/1993 16:00,44.34,44.81,44.34,44.81,243700
6/25/1993 16:00,44.78,44.91,44.75,44.78,44800
6/28/1993 16:00,45,45.28,44.94,45.28,439900
6/29/1993 16:00,45.22,45.22,45,45.06,207500
6/30/1993 16:00,45.13,45.22,45,45.06,437600
7/1/1993 16:00,45.13,45.13,44.88,44.94,605700
7/2/1993 16:00,44.78,44.81,44.53,44.69,285400
7/6/1993 16:00,44.63,44.75,44.16,44.22,246400
7/7/1993 16:00,44.19,44.41,44.19,44.34,343700
7/8/1993 16:00,44.38,44.94,44.31,44.84,248200
7/9/1993 16:00,44.84,44.97,44.75,44.97,378200
7/12/1993 16:00,44.91,44.97,44.84,44.94,373700
7/13/1993 16:00,44.97,45.09,44.66,44.91,389600
7/14/1993 16:00,44.94,45.19,44.91,45.06,617300
7/15/1993 16:00,45.03,45.03,44.78,44.88,443800
7/16/1993 16:00,44.91,44.94,44.69,44.75,216400
7/19/1993 16:00,44.75,44.75,44.59,44.72,188200
7/20/1993 16:00,44.69,44.84,44.47,44.84,68500
7/21/1993 16:00,44.78,44.81,44.66,44.81,142700
7/22/1993 16:00,44.75,44.81,44.5,44.5,632400
7/23/1993 16:00,44.59,44.72,44.56,44.72,286200
7/26/1993 16:00,44.84,45.06,44.84,44.97,121300
7/27/1993 16:00,45,45.03,44.78,44.94,92800
7/28/1993 16:00,44.84,44.94,44.78,44.84,30800
7/29/1993 16:00,44.94,45.22,44.88,45.09,331000
7/30/1993 16:00,45.09,45.09,44.78,44.84,75300
8/2/1993 16:00,44.91,45.13,44.91,44.97,41300
8/3/1993 16:00,45.06,45.19,44.84,45,81600
8/4/1993 16:00,45,45.09,44.88,45,434000
8/5/1993 16:00,45,45,44.84,44.91,36800
8/6/1993 16:00,45.03,45.06,44.91,44.97,402300
8/9/1993 16:00,45.09,45.34,45,45.22,828200
8/10/1993 16:00,45.19,45.22,45.13,45.19,604900
8/11/1993 16:00,45.16,45.31,45.16,45.19,542200
8/12/1993 16:00,45.31,45.31,44.91,45.06,303700
8/13/1993 16:00,45.09,45.16,45.09,45.13,103500
8/16/1993 16:00,45.16,45.5,45.16,45.38,241800
8/17/1993 16:00,45.34,45.53,45.34,45.53,369300
8/18/1993 16:00,45.69,45.88,45.66,45.78,414300
8/19/1993 16:00,45.81,45.81,45.72,45.78,28500
8/20/1993 16:00,45.69,45.81,45.66,45.81,80700
8/23/1993 16:00,45.63,45.75,45.63,45.72,15600
8/24/1993 16:00,45.72,46.22,45.72,46.22,273400
8/25/1993 16:00,46.22,46.44,46.16,46.25,242300
8/26/1993 16:00,46.28,46.53,46.09,46.28,120000
8/27/1993 16:00,46.16,46.25,46.16,46.25,25700
8/30/1993 16:00,46.28,46.5,46.28,46.44,183500
8/31/1993 16:00,46.41,46.56,46.34,46.56,66500
9/1/1993 16:00,46.41,46.59,46.41,46.5,136500
9/2/1993 16:00,46.53,46.59,46.31,46.34,472400
9/3/1993 16:00,46.31,46.44,46.25,46.38,630500
9/7/1993 16:00,46.38,46.44,46,46.06,196400
9/8/1993 16:00,46.06,46.06,45.59,45.91,269900
9/9/1993 16:00,45.72,46.03,45.72,46,239200
9/10/1993 16:00,46.13,46.44,46.06,46.41,106500
9/13/1993 16:00,46.56,46.56,46.44,46.44,66900
9/14/1993 16:00,46.31,46.31,46.09,46.25,184500
9/15/1993 16:00,46.06,46.41,45.91,46.38,101000
9/16/1993 16:00,46.31,46.34,46.16,46.19,54300
9/17/1993 16:00,45.88,45.91,45.75,45.81,200900
9/20/1993 16:00,45.88,45.97,45.44,45.44,57800
9/21/1993 16:00,45.5,45.56,44.81,45.28,318200
9/22/1993 16:00,45.44,45.72,45.38,45.66,439700
9/23/1993 16:00,45.78,45.94,45.72,45.91,88500
9/24/1993 16:00,45.84,45.88,45.72,45.78,53500
9/27/1993 16:00,46.13,46.28,46.13,46.28,274600
9/28/1993 16:00,46.31,46.31,46.16,46.19,158300
9/29/1993 16:00,46.19,46.31,45.97,46.03,221000
9/30/1993 16:00,46.03,46.13,45.84,45.94,99300
10/1/1993 16:00,45.88,46.22,45.81,46.16,22700
10/4/1993 16:00,46.22,46.22,46.09,46.22,1038500
10/5/1993 16:00,46.31,46.31,46,46.16,436500
10/6/1993 16:00,46.19,46.38,46.13,46.13,209200
10/7/1993 16:00,46.19,46.19,45.97,46,59400
10/8/1993 16:00,46.13,46.16,45.72,46.06,54400
10/11/1993 16:00,46.16,46.25,46.16,46.16,467100
10/12/1993 16:00,46.22,46.25,46.19,46.22,26200
10/13/1993 16:00,46.25,46.25,46.16,46.22,139100
10/14/1993 16:00,46.41,46.81,46.28,46.81,108100
10/15/1993 16:00,47.03,47.16,46.91,47.06,1502500
10/18/1993 16:00,47.03,47.03,46.88,46.94,722400
10/19/1993 16:00,46.88,46.97,46.59,46.59,880100
10/20/1993 16:00,46.75,46.75,46.56,46.66,230400
10/21/1993 16:00,46.69,46.69,46.53,46.59,56200
10/22/1993 16:00,46.66,46.84,46.38,46.38,390700
10/25/1993 16:00,46.41,46.56,46.28,46.5,114500
10/26/1993 16:00,46.47,46.5,46.31,46.47,186200
